Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Canta y sé feliz,Peret,Spain,1974,Spanish,9,10,No Semifinal,N/A,N/A
Fleur de liberté,Jacques Hustin,Belgium,1974,French,9,10,No Semifinal,N/A,N/A
"Krasi, thalassa ke t' agori mou (Κρασί, θάλασσα και τ' αγόρι μου)",Marinella,Greece,1974,Greek,11,7,No Semifinal,N/A,N/A
Generacija '42 (Генерација '42),Korni Grupa,Yugoslavia,1974,Serbo-Croatian,12,6,No Semifinal,N/A,N/A
Keep Me Warm,Carita,Finland,1974,English,13,4,No Semifinal,N/A,N/A
Die Sommermelodie,Cindy & Bert,Germany,1974,German,14,3,No Semifinal,N/A,N/A
E depois do adeus,Paulo de Carvalho,Portugal,1974,Portuguese,14,3,No Semifinal,N/A,N/A
Mein Ruf nach dir,Piera Martell,Switzerland,1974,German,14,3,No Semifinal,N/A,N/A
The First Day of Love,Anne-Karine Strøm feat. Bendik Singers,Norway,1974,English,14,3,No Semifinal,N/A,N/A
Ding-a-dong,Teach-In,Netherlands,1975,English,1,152,No Semifinal,N/A,N/A
Let Me Be The One,The Shadows,United Kingdom,1975,English,2,138,No Semifinal,N/A,N/A
Era,Wess & Dori Ghezzi,Italy,1975,Italian,3,115,No Semifinal,N/A,N/A
Et bonjour à toi l'artiste,Nicole Rieu,France,1975,French,4,91,No Semifinal,N/A,N/A
Toi,Geraldine,Luxembourg,1975,French,5,84,No Semifinal,N/A,N/A
Mikado,Simone Drexel,Switzerland,1975,German,6,77,No Semifinal,N/A,N/A
Old Man Fiddle,Pihasoittajat,Finland,1975,English,7,74,No Semifinal,N/A,N/A
"Jennie, Jennie",Lasse Berghagen,Sweden,1975,English,8,72,No Semifinal,N/A,N/A
That's What Friends Are For,The Swarbriggs,Ireland,1975,English,9,68,No Semifinal,N/A,N/A
Tú volverás,Sergio & Estíbaliz,Spain,1975,Spanish,10,53,No Semifinal,N/A,N/A
At Va'Ani (את ואני),Shlomo Artzi,Israel,1975,Hebrew,11,40,No Semifinal,N/A,N/A
Singing This Song,Renato,Malta,1975,English,12,32,No Semifinal,N/A,N/A
Dan ljubezni,Pepel in kri,Yugoslavia,1975,Slovene,13,22,No Semifinal,N/A,N/A
Une chanson c'est une lettre,Sophie Hecquet,Monaco,1975,French,13,22,No Semifinal,N/A,N/A
Gelukkig zijn,Ann Christy,Belgium,1975,"Dutch, English",15,17,No Semifinal,N/A,N/A
Madrugada,Duarte Mendes,Portugal,1975,Portuguese,16,16,No Semifinal,N/A,N/A
Ein Lied kann eine Brücke sein,Joy Fleming,Germany,1975,"German, English",17,15,No Semifinal,N/A,N/A
Touch My Life (With Summer),Ellen Nikolaysen,Norway,1975,English,18,11,No Semifinal,N/A,N/A
Seninle Bir Dakika,Semiha Yankı,Turkey,1975,Turkish,19,3,No Semifinal,N/A,N/A
Save Your Kisses for Me,Brotherhood of Man,United Kingdom,1976,English,1,164,No Semifinal,N/A,N/A
"Un, deux, trois",Catherine Ferry,France,1976,French,2,147,No Semifinal,N/A,N/A
"Toi, la musique et moi",Mary Christy,Monaco,1976,French,3,93,No Semifinal,N/A,N/A
"Djambo, Djambo","Peter, Sue and Marc",Switzerland,1976,English,4,91,No Semifinal,N/A,N/A
My Little World,Waterloo & Robinson,Austria,1976,English,5,80,No Semifinal,N/A,N/A
Emor Shalom (אמור שלום),"Chocolate, Menta, Mastik",Israel,1976,Hebrew,6,77,No Semifinal,N/A,N/A
We'll Live It All Again,Al Bano & Romina Power,Italy,1976,"English, Italian",7,69,No Semifinal,N/A,N/A
Judy et Cie,Pierre Rapsat,Belgium,1976,French,8,68,No Semifinal,N/A,N/A
The Party's Over,Sandra Reemer,Netherlands,1976,English,9,56,No Semifinal,N/A,N/A
When,Red Hurley,Ireland,1976,English,10,54,No Semifinal,N/A,N/A
Pump-Pump,Fredi & Ystävät,Finland,1976,English,11,44,No Semifinal,N/A,N/A
Uma flor de verde pinho,Carlos do Carmo,Portugal,1976,Portuguese,12,24,No Semifinal,N/A,N/A
"Panagia mou, Panagia mou (Παναγιά μου, Παναγιά μου)",Mariza Koch,Greece,1976,Greek,13,20,No Semifinal,N/A,N/A
Chansons pour ceux qui s'aiment,Jürgen Marcus,Luxembourg,1976,French,14,17,No Semifinal,N/A,N/A
Sing Sang Song,Les Humphries Singers,Germany,1976,German,15,12,No Semifinal,N/A,N/A
Sobran las palabras,Braulio,Spain,1976,Spanish,16,11,No Semifinal,N/A,N/A
Ne mogu skriti svoju bol,Ambasadori,Yugoslavia,1976,Serbo-Croatian,17,10,No Semifinal,N/A,N/A
Mata Hari,Anne-Karine Strøm,Norway,1976,English,18,7,No Semifinal,N/A,N/A
L'oiseau et l'enfant,Marie Myriam,France,1977,French,1,136,No Semifinal,N/A,N/A
Rock Bottom,Lynsey de Paul & Mike Moran,United Kingdom,1977,English,2,121,No Semifinal,N/A,N/A
It's Nice to Be in Love Again,The Swarbriggs Plus Two,Ireland,1977,English,3,119,No Semifinal,N/A,N/A
Une petite française,Michèle Torr,Monaco,1977,French,4,96,No Semifinal,N/A,N/A
Mathima solfez (Μάθημα σολφέζ),"Paschalis, Marianna, Robert & Bessy",Greece,1977,Greek,5,92,No Semifinal,N/A,N/A
Swiss Lady,Pepe Lienhard Band,Switzerland,1977,German,6,71,No Semifinal,N/A,N/A
"A Million in One, Two, Three",Dream Express,Belgium,1977,English,7,69,No Semifinal,N/A,N/A
Telegram,Silver Convention,Germany,1977,English,8,55,No Semifinal,N/A,N/A
Enséñame a cantar,Micky,Spain,1977,Spanish,9,52,No Semifinal,N/A,N/A
Lapponia,Monica Aspelund,Finland,1977,Finnish,10,50,No Semifinal,N/A,N/A
Ahava Hi Shir Lishnayim (אהבה היא שיר לשניים),Ilanit,Israel,1977,Hebrew,11,49,No Semifinal,N/A,N/A
De mallemolen,Heddy Lester,Netherlands,1977,Dutch,12,35,No Semifinal,N/A,N/A
Libera,Mia Martini,Italy,1977,Italian,13,33,No Semifinal,N/A,N/A
Casanova,Anita Skorgan,Norway,1977,Norwegian,14,18,No Semifinal,N/A,N/A
Portugal no coração,Os Amigos,Portugal,1977,Portuguese,14,18,No Semifinal,N/A,N/A
Frère Jacques,Anne-Marie B,Luxembourg,1977,French,16,17,No Semifinal,N/A,N/A
Boom Boom Boomerang,Schmetterlinge,Austria,1977,German,17,11,No Semifinal,N/A,N/A
Beatles,Forbes,Sweden,1977,Swedish,18,2,No Semifinal,N/A,N/A
A-Ba-Ni-Bi (א-ב-ני-בי),Izhar Cohen and the Alphabeta,Israel,1978,Hebrew,1,157,No Semifinal,N/A,N/A
L'amour ça fait chanter la vie,Jean Vallée,Belgium,1978,French,2,125,No Semifinal,N/A,N/A
Il y aura toujours des violons,Joël Prévost,France,1978,French,3,119,No Semifinal,N/A,N/A
Les jardins de Monaco,Caline & Olivier Toussaint,Monaco,1978,French,4,107,No Semifinal,N/A,N/A
Born to Sing,Colm C. T. Wilkinson,Ireland,1978,English,5,86,No Semifinal,N/A,N/A
Feuer,Ireen Sheer,Germany,1978,German,6,84,No Semifinal,N/A,N/A
Parlez-vous français?,Baccara,Luxembourg,1978,French,7,73,No Semifinal,N/A,N/A
Charlie Chaplin (Τσάρλυ Τσάπλιν),Tania Tsanaklidou,Greece,1978,Greek,8,66,No Semifinal,N/A,N/A
Bailemos un vals,José Vélez,Spain,1978,Spanish,9,65,No Semifinal,N/A,N/A
Vivre,Carole Vinci,Switzerland,1978,French,9,65,No Semifinal,N/A,N/A
The Bad Old Days,Co-Co,United Kingdom,1978,English,11,61,No Semifinal,N/A,N/A
Questo amore,Ricchi e Poveri,Italy,1978,Italian,12,53,No Semifinal,N/A,N/A
t Is OK,Harmony,Netherlands,1978,Dutch,13,37,No Semifinal,N/A,N/A
Det blir alltid värre framåt natten,Björn Skifs,Sweden,1978,Swedish,14,26,No Semifinal,N/A,N/A
Mrs. Caroline Robinson,Springtime,Austria,1978,German,15,14,No Semifinal,N/A,N/A
Boom Boom,Mabel,Denmark,1978,Danish,16,13,No Semifinal,N/A,N/A
Dai li dou,Gemini,Portugal,1978,Portuguese,17,5,No Semifinal,N/A,N/A
Anna rakkaudelle tilaisuus,Seija Simola,Finland,1978,Finnish,18,2,No Semifinal,N/A,N/A
Sevince,Nilüfer & Nazar,Turkey,1978,Turkish,18,2,No Semifinal,N/A,N/A
Mil etter mil,Jahn Teigen,Norway,1978,Norwegian,20,0,No Semifinal,N/A,N/A
Hallelujah (הללויה),Milk and Honey,Israel,1979,Hebrew,1,125,No Semifinal,N/A,N/A
Su canción,Betty Missiego,Spain,1979,Spanish,2,116,No Semifinal,N/A,N/A
Je suis l'enfant soleil,Anne-Marie David,France,1979,French,3,106,No Semifinal,N/A,N/A
Dschinghis Khan,Dschinghis Khan,Germany,1979,German,4,86,No Semifinal,N/A,N/A
Happy Man,Cathal Dunne,Ireland,1979,English,5,80,No Semifinal,N/A,N/A
Disco Tango,Tommy Seebach,Denmark,1979,Danish,6,76,No Semifinal,N/A,N/A
Mary Ann,Black Lace,United Kingdom,1979,English,7,73,No Semifinal,N/A,N/A
Sokrati (Σωκράτη),Elpida,Greece,1979,Greek,8,69,No Semifinal,N/A,N/A
"Sobe, sobe, balão sobe",Manuela Bravo,Portugal,1979,Portuguese,9,64,No Semifinal,N/A,N/A
Trödler und Co,"Peter, Sue, Marc, Pfuri, Gorps and Kniri",Switzerland,1979,German,10,60,No Semifinal,N/A,N/A
Oliver,Anita Skorgan,Norway,1979,Norwegian,11,57,No Semifinal,N/A,N/A
Colorado,Xandra,Netherlands,1979,Dutch,12,51,No Semifinal,N/A,N/A
J'ai déjà vu ça dans tes yeux,Jeane Manson,Luxembourg,1979,French,13,44,No Semifinal,N/A,N/A
Katson sineen taivaan,Katri Helena,Finland,1979,Finnish,14,38,No Semifinal,N/A,N/A
Raggio di luna,Matia Bazar,Italy,1979,Italian,15,27,No Semifinal,N/A,N/A
Notre vie c'est la musique,Laurent Vaguener,Monaco,1979,French,16,12,No Semifinal,N/A,N/A
Satellit,Ted Gärdestad,Sweden,1979,Swedish,17,8,No Semifinal,N/A,N/A
Heute in Jerusalem,Christina Simon,Austria,1979,German,18,5,No Semifinal,N/A,N/A
Hey Nana,Micha Marah,Belgium,1979,Dutch,18,5,No Semifinal,N/A,N/A
What's Another Year,Johnny Logan,Ireland,1980,English,1,143,No Semifinal,N/A,N/A
Theater,Katja Ebstein,Germany,1980,German,2,128,No Semifinal,N/A,N/A
Love Enough for Two,Prima Donna,United Kingdom,1980,English,3,106,No Semifinal,N/A,N/A
Cinéma,Paola,Switzerland,1980,French,4,104,No Semifinal,N/A,N/A
Amsterdam,Maggie MacNeal,Netherlands,1980,Dutch,5,93,No Semifinal,N/A,N/A
Non so che darei,Alan Sorrenti,Italy,1980,Italian,6,87,No Semifinal,N/A,N/A
"Um grande, grande amor",José Cid,Portugal,1980,Portuguese,7,71,No Semifinal,N/A,N/A
Du bist Musik,Blue Danube,Austria,1980,German,8,64,No Semifinal,N/A,N/A
Papa pingouin,Sophie & Magaly,Luxembourg,1980,French,9,56,No Semifinal,N/A,N/A
Just nu!,Tomas Ledin,Sweden,1980,Swedish,10,47,No Semifinal,N/A,N/A
"Hé, hé, m'sieurs dames",Profil,France,1980,French,11,45,No Semifinal,N/A,N/A
Quédate esta noche,Trigo Limpio,Spain,1980,Spanish,12,38,No Semifinal,N/A,N/A
Autostop (Ωτοστόπ),Anna Vissi and the Epikouri,Greece,1980,Greek,13,30,No Semifinal,N/A,N/A
Tænker altid på dig,Bamses Venner,Denmark,1980,Danish,14,25,No Semifinal,N/A,N/A
Pet'r Oil,Ajda Pekkan,Turkey,1980,Turkish,15,23,No Semifinal,N/A,N/A
Sámiid ædnan,Sverre Kjelsberg & Mattis Hætta,Norway,1980,"Norwegian, Northern Sami",16,15,No Semifinal,N/A,N/A
Euro-Vision,Telex,Belgium,1980,French,17,14,No Semifinal,N/A,N/A
Bitaqat Hub (بطاقة حب),Samira Bensaïd,Morocco,1980,Arabic,18,7,No Semifinal,N/A,N/A
Huilumies,Vesa-Matti Loiri,Finland,1980,Finnish,19,6,No Semifinal,N/A,N/A
Making Your Mind Up,Bucks Fizz,United Kingdom,1981,English,1,136,No Semifinal,N/A,N/A
Johnny Blue,Lena Valaitis,Germany,1981,German,2,132,No Semifinal,N/A,N/A
Humanahum,Jean Gabilou,France,1981,French,3,125,No Semifinal,N/A,N/A
Io senza te,"Peter, Sue and Marc",Switzerland,1981,Italian,4,121,No Semifinal,N/A,N/A
Horoscopes,Sheeba,Ireland,1981,English,5,105,No Semifinal,N/A,N/A
Monika (Μόνικα),Island,Cyprus,1981,Greek,6,69,No Semifinal,N/A,N/A
Halayla (הלילה),Hakol Over Habibi,Israel,1981,Hebrew,7,56,No Semifinal,N/A,N/A
Feggari kalokerino (Φεγγάρι καλοκαιρινό),Yiannis Dimitras,Greece,1981,Greek,8,55,No Semifinal,N/A,N/A
Het is een wonder,Linda Williams,Netherlands,1981,Dutch,9,51,No Semifinal,N/A,N/A
Fångad i en dröm,Björn Skifs,Sweden,1981,Swedish,10,50,No Semifinal,N/A,N/A
C'est peut-être pas l'Amérique,Jean-Claude Pascal,Luxembourg,1981,French,11,41,No Semifinal,N/A,N/A
Krøller eller ej,Tommy Seebach & Debbie Cameron,Denmark,1981,Danish,11,41,No Semifinal,N/A,N/A
Samson,Emly Starr,Belgium,1981,Dutch,13,40,No Semifinal,N/A,N/A
Y sólo tú,Bacchelli,Spain,1981,Spanish,14,38,No Semifinal,N/A,N/A
Lejla,"Seid Memić ""Vajta""",Yugoslavia,1981,Serbo-Croatian,15,35,No Semifinal,N/A,N/A
Reggae OK,Riki Sorsa,Finland,1981,Finnish,16,27,No Semifinal,N/A,N/A
Wenn du da bist,Marty Brem,Austria,1981,German,17,20,No Semifinal,N/A,N/A
Dönme Dolap,Modern Folk Üçlüsü & Ayşegül,Turkey,1981,Turkish,18,9,No Semifinal,N/A,N/A
Playback,Carlos Paião,Portugal,1981,Portuguese,18,9,No Semifinal,N/A,N/A
Aldri i livet,Finn Kalvik,Norway,1981,Norwegian,20,0,No Semifinal,N/A,N/A
Ein bißchen Frieden,Nicole,Germany,1982,German,1,161,No Semifinal,N/A,N/A
Hora (הורה),Avi Toledano,Israel,1982,Hebrew,2,100,No Semifinal,N/A,N/A
Amour on t'aime,Arlette Zola,Switzerland,1982,French,3,97,No Semifinal,N/A,N/A
Si tu aimes ma musique,Stella,Belgium,1982,French,4,96,No Semifinal,N/A,N/A
Mono i agapi (Μόνο η αγάπη),Anna Vissi,Cyprus,1982,Greek,5,85,No Semifinal,N/A,N/A
Cours après le temps,Svetlana,Luxembourg,1982,French,6,78,No Semifinal,N/A,N/A
One Step Further,Bardo,United Kingdom,1982,English,7,76,No Semifinal,N/A,N/A
Dag efter dag,Chips,Sweden,1982,Swedish,8,67,No Semifinal,N/A,N/A
Sonntag,Mess,Austria,1982,German,9,57,No Semifinal,N/A,N/A
Él,Lucía,Spain,1982,Spanish,10,52,No Semifinal,N/A,N/A
Here Today Gone Tomorrow,The Duskeys,Ireland,1982,English,11,49,No Semifinal,N/A,N/A
Adieu,Jahn Teigen & Anita Skorgan,Norway,1982,Norwegian,12,40,No Semifinal,N/A,N/A
Bem bom,Doce,Portugal,1982,Portuguese,13,32,No Semifinal,N/A,N/A
"Halo, halo (Хало, хало)",Aska,Yugoslavia,1982,Serbo-Croatian,14,21,No Semifinal,N/A,N/A
Hani?,Neco,Turkey,1982,Turkish,15,20,No Semifinal,N/A,N/A
Jij en ik,Bill van Dijk,Netherlands,1982,Dutch,16,8,No Semifinal,N/A,N/A
"Video, Video",Brixx,Denmark,1982,Danish,17,5,No Semifinal,N/A,N/A
Nuku pommiin,Kojo,Finland,1982,Finnish,18,0,No Semifinal,N/A,N/A
Si la vie est cadeau,Corinne Hermès,Luxembourg,1983,French,1,142,No Semifinal,N/A,N/A
Hi (חי),Ofra Haza,Israel,1983,Hebrew,2,136,No Semifinal,N/A,N/A
Främling,Carola Häggkvist,Sweden,1983,Swedish,3,126,No Semifinal,N/A,N/A
Džuli,Daniel,Yugoslavia,1983,Serbo-Croatian,4,125,No Semifinal,N/A,N/A
Rücksicht,Hoffmann & Hoffmann,Germany,1983,German,5,94,No Semifinal,N/A,N/A
I'm Never Giving Up,Sweet Dreams,United Kingdom,1983,English,6,79,No Semifinal,N/A,N/A
Sing Me a Song,Bernadette,Netherlands,1983,Dutch,7,66,No Semifinal,N/A,N/A
Vivre,Guy Bonnet,France,1983,French,8,56,No Semifinal,N/A,N/A
Do Re Mi,Jahn Teigen,Norway,1983,Norwegian,9,53,No Semifinal,N/A,N/A
Hurricane,Westend,Austria,1983,German,9,53,No Semifinal,N/A,N/A
Fantasiaa,Ami Aspelund,Finland,1983,Finnish,11,41,No Semifinal,N/A,N/A
Per Lucia,Riccardo Fogli,Italy,1983,Italian,11,41,No Semifinal,N/A,N/A
Esta balada que te dou,Armando Gama,Portugal,1983,Portuguese,13,33,No Semifinal,N/A,N/A
Mou les (Μου λες),Christie Stasinopoulou,Greece,1983,Greek,14,32,No Semifinal,N/A,N/A
Io così non ci sto,Mariella Farré,Switzerland,1983,Italian,15,28,No Semifinal,N/A,N/A
I agapi akoma zi (Η αγάπη ακόμα ζει),Stavros & Constantina,Cyprus,1983,Greek,16,26,No Semifinal,N/A,N/A
Kloden drejer,Gry Johansen,Denmark,1983,Danish,17,16,No Semifinal,N/A,N/A
Rendez-vous,Pas de Deux,Belgium,1983,Dutch,18,13,No Semifinal,N/A,N/A
¿Quién maneja mi barca?,Remedios Amaya,Spain,1983,Spanish,19,0,No Semifinal,N/A,N/A
Opera,Çetin Alp & the Short Waves,Turkey,1983,Turkish,19,0,No Semifinal,N/A,N/A
Diggi-Loo Diggi-Ley,Herreys,Sweden,1984,Swedish,1,145,No Semifinal,N/A,N/A
Terminal 3,Linda Martin,Ireland,1984,English,2,137,No Semifinal,N/A,N/A
"Lady, Lady",Bravo,Spain,1984,Spanish,3,106,No Semifinal,N/A,N/A
Det' lige det,Hot Eyes,Denmark,1984,Danish,4,101,No Semifinal,N/A,N/A
Avanti la vie,Jacques Zegers,Belgium,1984,French,5,70,No Semifinal,N/A,N/A
I treni di Tozeur,Alice & Franco Battiato,Italy,1984,Italian,5,70,No Semifinal,N/A,N/A
Love Games,Belle and the Devotions,United Kingdom,1984,English,7,63,No Semifinal,N/A,N/A
Autant d'amoureux que d'étoiles,Annick Thoumazeau,France,1984,French,8,61,No Semifinal,N/A,N/A
Hengaillaan,Kirka,Finland,1984,Finnish,9,46,No Semifinal,N/A,N/A
100% d'amour,Sophie Carle,Luxembourg,1984,French,10,39,No Semifinal,N/A,N/A
Silêncio e tanta gente,Maria Guinot,Portugal,1984,Portuguese,11,38,No Semifinal,N/A,N/A
Halay,"Beş Yıl Önce, On Yıl Sonra",Turkey,1984,Turkish,12,37,No Semifinal,N/A,N/A
Aufrecht geh'n,Mary Roos,Germany,1984,German,13,34,No Semifinal,N/A,N/A
Ik hou van jou,Maribelle,Netherlands,1984,Dutch,13,34,No Semifinal,N/A,N/A
Anna Maria Lena (Άννα Μαρία Λένα),Andy Paul,Cyprus,1984,Greek,15,31,No Semifinal,N/A,N/A
Welche Farbe hat der Sonnenschein?,Rainy Day,Switzerland,1984,German,16,30,No Semifinal,N/A,N/A
Lenge leve livet,Dollie de Luxe,Norway,1984,Norwegian,17,29,No Semifinal,N/A,N/A
"Ciao, amore",Vlado & Isolda,Yugoslavia,1984,Serbo-Croatian,18,26,No Semifinal,N/A,N/A
Einfach weg,Anita,Austria,1984,German,19,5,No Semifinal,N/A,N/A
La det swinge,Bobbysocks!,Norway,1985,Norwegian,1,123,No Semifinal,N/A,N/A
Für alle,Wind,Germany,1985,German,2,105,No Semifinal,N/A,N/A
Bra vibrationer,Kikki Danielsson,Sweden,1985,Swedish,3,103,No Semifinal,N/A,N/A
Love Is…,Vikki,United Kingdom,1985,English,4,100,No Semifinal,N/A,N/A
"Olé, Olé (עולה, עולה)",Izhar Cohen,Israel,1985,Hebrew,5,93,No Semifinal,N/A,N/A
Wait Until the Weekend Comes,Maria Christian,Ireland,1985,English,6,91,No Semifinal,N/A,N/A
Magic Oh Magic,Al Bano & Romina Power,Italy,1985,Italian,7,78,No Semifinal,N/A,N/A
Kinder dieser Welt,Gary Lux,Austria,1985,German,8,60,No Semifinal,N/A,N/A
Eläköön elämä,Sonja Lumme,Finland,1985,Finnish,9,58,No Semifinal,N/A,N/A
Femme dans ses rêves aussi,Roger Bens,France,1985,French,10,56,No Semifinal,N/A,N/A
Sku' du spørg' fra no'en?,Hot Eyes,Denmark,1985,Danish,11,41,No Semifinal,N/A,N/A
"Piano, piano",Mariella Farré & Pino Gasparini,Switzerland,1985,German,12,39,No Semifinal,N/A,N/A
"Children, Kinder, Enfants","Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts",Luxembourg,1985,French,13,37,No Semifinal,N/A,N/A
Didai didai dai,MFÖ,Turkey,1985,Turkish,14,36,No Semifinal,N/A,N/A
La fiesta terminó,Paloma San Basilio,Spain,1985,Spanish,14,36,No Semifinal,N/A,N/A
Miazoume (Μοιάζουμε),Takis Biniaris,Greece,1985,Greek,16,15,No Semifinal,N/A,N/A
To katalava arga (Το κατάλαβα αργά),Lia Vissi,Cyprus,1985,Greek,16,15,No Semifinal,N/A,N/A
"Penso em ti, eu sei",Adelaide,Portugal,1985,Portuguese,18,9,No Semifinal,N/A,N/A
Laat me nu gaan,Linda Lepomme,Belgium,1985,Dutch,19,7,No Semifinal,N/A,N/A
J'aime la vie,Sandra Kim,Belgium,1986,French,1,176,No Semifinal,N/A,N/A
Pas pour moi,Daniela Simmons,Switzerland,1986,French,2,140,No Semifinal,N/A,N/A
L'amour de ma vie,Sherisse Laurence,Luxembourg,1986,French,3,117,No Semifinal,N/A,N/A
You Can Count On Me,Luv Bug,Ireland,1986,English,4,96,No Semifinal,N/A,N/A
E' de' det här du kallar kärlek?,Lasse Holm & Monica Törnell,Sweden,1986,Swedish,5,78,No Semifinal,N/A,N/A
Du er fuld af løgn,Lise Haavik,Denmark,1986,Danish,6,77,No Semifinal,N/A,N/A
Runner in the Night,Ryder,United Kingdom,1986,English,7,72,No Semifinal,N/A,N/A
Über die Brücke geh'n,Ingrid Peters,Germany,1986,German,8,62,No Semifinal,N/A,N/A
Halley,Klips ve Onlar,Turkey,1986,Turkish,9,53,No Semifinal,N/A,N/A
Valentino,Cadillac,Spain,1986,Spanish,10,51,No Semifinal,N/A,N/A
Željo moja,Doris Dragović,Yugoslavia,1986,Serbo-Croatian,11,49,No Semifinal,N/A,N/A
Romeo,Ketil Stokkan,Norway,1986,Norwegian,12,44,No Semifinal,N/A,N/A
Alles heeft ritme,Frizzle Sizzle,Netherlands,1986,Dutch,13,40,No Semifinal,N/A,N/A
Não sejas mau para mim,Dora,Portugal,1986,Portuguese,14,28,No Semifinal,N/A,N/A
Never the End,Kari Kuivalainen,Finland,1986,Finnish,15,22,No Semifinal,N/A,N/A
Gleðibankinn,ICY,Iceland,1986,Icelandic,16,19,No Semifinal,N/A,N/A
Européennes,Cocktail Chic,France,1986,French,17,13,No Semifinal,N/A,N/A
Die Zeit ist einsam,Timna Brauer,Austria,1986,German,18,12,No Semifinal,N/A,N/A
Yavo Yom (יבוא יום),Moti Giladi & Sarai Tzuriel,Israel,1986,Hebrew,19,7,No Semifinal,N/A,N/A
Tora zo (Τώρα ζω),Elpida,Cyprus,1986,Greek,20,4,No Semifinal,N/A,N/A
Hold Me Now,Johnny Logan,Ireland,1987,English,1,172,No Semifinal,N/A,N/A
Lass die Sonne in dein Herz,Wind,Germany,1987,German,2,141,No Semifinal,N/A,N/A
Gente di mare,Umberto Tozzi & Raf,Italy,1987,Italian,3,103,No Semifinal,N/A,N/A
Ja sam za ples,Novi fosili,Yugoslavia,1987,Serbo-Croatian,4,92,No Semifinal,N/A,N/A
En lille melodi,Anne-Cathrine Herdorf & Bandjo,Denmark,1987,Danish,5,83,No Semifinal,N/A,N/A
Rechtop in de wind,Marcha,Netherlands,1987,Dutch,5,83,No Semifinal,N/A,N/A
Aspro-mavro (Άσπρο-μαύρο),Alexia,Cyprus,1987,Greek,7,80,No Semifinal,N/A,N/A
Shir Habatlanim (שיר הבטלנים),"Natan Datner and Avi Kushnir (as ""Lazy Bums"")",Israel,1987,Hebrew,8,73,No Semifinal,N/A,N/A
Mitt liv,Kate Gulbrandsen,Norway,1987,Norwegian,9,65,No Semifinal,N/A,N/A
Stop (Στοπ),Bang,Greece,1987,Greek,10,64,No Semifinal,N/A,N/A
Soldiers of Love,Liliane Saint-Pierre,Belgium,1987,Dutch,11,56,No Semifinal,N/A,N/A
Boogaloo,Lotta Engberg,Sweden,1987,Swedish,12,50,No Semifinal,N/A,N/A
Only the Light,Rikki,United Kingdom,1987,English,13,47,No Semifinal,N/A,N/A
Les mots d'amour n'ont pas de dimanche,Christine Minier,France,1987,French,14,44,No Semifinal,N/A,N/A
Sata salamaa,Vicky Rosti & Boulevard,Finland,1987,Finnish,15,32,No Semifinal,N/A,N/A
Hægt og hljótt,Halla Margrét,Iceland,1987,Icelandic,16,28,No Semifinal,N/A,N/A
"Moitié, moitié",Carol Rich,Switzerland,1987,French,17,26,No Semifinal,N/A,N/A
Neste barco à vela,Nevada,Portugal,1987,Portuguese,18,15,No Semifinal,N/A,N/A
No estás solo,Patricia Kraus,Spain,1987,Spanish,19,10,No Semifinal,N/A,N/A
Nur noch Gefühl,Gary Lux,Austria,1987,German,20,8,No Semifinal,N/A,N/A
"Amour, amour",Plastic Bertrand,Luxembourg,1987,French,21,4,No Semifinal,N/A,N/A
Şarkım Sevgi Üstüne,Seyyal Taner & Lokomotif,Turkey,1987,Turkish,22,0,No Semifinal,N/A,N/A
Ne partez pas sans moi,Céline Dion,Switzerland,1988,French,1,137,No Semifinal,N/A,N/A
Go,Scott Fitzgerald,United Kingdom,1988,English,2,136,No Semifinal,N/A,N/A
Ka' du se hva' jeg sa'?,Hot Eyes,Denmark,1988,Danish,3,92,No Semifinal,N/A,N/A
Croire,Lara Fabian,Luxembourg,1988,French,4,90,No Semifinal,N/A,N/A
For vår jord,Karoline Krüger,Norway,1988,Norwegian,5,88,No Semifinal,N/A,N/A
Mangup,Srebrna krila,Yugoslavia,1988,Serbo-Croatian,6,87,No Semifinal,N/A,N/A
Ben Adam (בן אדם),Yardena Arazi,Israel,1988,Hebrew,7,85,No Semifinal,N/A,N/A
Take Him Home,Jump the Gun,Ireland,1988,English,8,79,No Semifinal,N/A,N/A
Shangri-La,Gerard Joling,Netherlands,1988,Dutch,9,70,No Semifinal,N/A,N/A
Chanteur de charme,Gérard Lenorman,France,1988,French,10,64,No Semifinal,N/A,N/A
La chica que yo quiero (Made in Spain),La Década,Spain,1988,Spanish,11,58,No Semifinal,N/A,N/A
Stad i ljus,Tommy Körberg,Sweden,1988,Swedish,12,52,No Semifinal,N/A,N/A
Vivo (Ti scrivo),Luca Barbarossa,Italy,1988,Italian,12,52,No Semifinal,N/A,N/A
Lied für einen Freund,Maxi & Chris Garden,Germany,1988,German,14,48,No Semifinal,N/A,N/A
Sufi,MFÖ,Turkey,1988,Turkish,15,37,No Semifinal,N/A,N/A
Þú og þeir (Sókrates),Beathoven,Iceland,1988,Icelandic,16,20,No Semifinal,N/A,N/A
Clown (Κλόουν),Afroditi Frida,Greece,1988,Greek,17,10,No Semifinal,N/A,N/A
Laissez briller le soleil,Reynaert,Belgium,1988,French,18,5,No Semifinal,N/A,N/A
Voltarei,Dora,Portugal,1988,Portuguese,18,5,No Semifinal,N/A,N/A
